Marque;Modèle;Type;Fonctionnement;ISO;Angle;Couleur;calibre;Débit à 2 bar;Débit à 3 bar;Débit à 5 bar;TOLERANCE
;;;;;;P-G 015;;;1.73;;15
;;;;;;P-G 018;;;2.42;;15
;;;;;;P-G 020;;;3.02;;15
;;;;;;P-G 023;;;3.9;;15
;;;;;;P-G 040;;;12.41;;15
;APM;MIROIR;standard;non;;JAUNE;;;0.95;;10
;;;;;;ORANGE;;;1.58;;10
;;;;;;ROUGE;;;2.38;;10
;;;;;;VERT;;;3.18;;10
;;;;;;BLEU;;;3.96;;10
;;;;;;GRISE;;;5.63;;10
;;;;;;NOIRE;;;7.35;;10
;MVI;MIROIR;INJECTION D'AIR LIBRE;oui;;VERT;15;;0.6;;15
;;;;;;JAUNE;2;;0.8;;15
;;;;;;LILAS;25;;1;;10
;;;;;;BLEU;3;;1.2;;10
;;;;;;ROUGE;4;;1.6;;10
;;;;;;MARRON;5;;2;;10
;;;;;;GRIS;6;;2.4;;10
;;;;;;BLANC;8;;3.2;;10
;;;;;;BLEU CLAIR;10;;4;;10
