Code_commune_INSEE;Nom_commune;Code_postal;Libellé_d_acheminement
3090;COUZON;03160;COUZON
3077;CHIRAT L EGLISE;03330;CHIRAT L EGLISE
3107;EBREUIL;03450;EBREUIL
3079;CINDRE;03220;CINDRE
3113;FERRIERES SUR SICHON;03250;FERRIERES SUR SICHON
3082;COMMENTRY;03600;COMMENTRY
3116;FOURILLES;03140;FOURILLES
3083;CONTIGNY;03500;CONTIGNY
3132;JALIGNY SUR BESBRE;03220;JALIGNY SUR BESBRE
3085;COULANDON;03000;COULANDON
3134;LAFELINE;03500;LAFELINE
3086;COULANGES;03470;COULANGES
3141;LAVOINE;03250;LAVOINE
3091;CRECHY;03150;CRECHY
3151;LOUROUX DE BEAUNE;03600;LOUROUX DE BEAUNE
3095;CUSSET;03300;CUSSET
3168;MEAULNE VITRAY;03360;MEAULNE VITRAY
3099;DEUX CHAISES;03240;DEUX CHAISES
3170;MEILLERS;03210;MEILLERS
3100;DIOU;03290;DIOU
3182;MONTEIGNET SUR L ANDELOT;03800;MONTEIGNET SUR L ANDELOT
3101;DOMERAT;03410;DOMERAT
3183;LE MONTET;03240;LE MONTET
3104;DOYET;03170;DOYET
3184;MONTILLY;03000;MONTILLY
3108;ECHASSIERES;03330;ECHASSIERES
3187;MONTOLDRE;03150;MONTOLDRE
3114;LA FERTE HAUTERIVE;03340;LA FERTE HAUTERIVE
3190;MOULINS;03000;MOULINS
3115;FLEURIEL;03140;FLEURIEL
3192;NADES;03450;NADES
3117;FRANCHESSE;03160;FRANCHESSE
3194;NAVES;03330;NAVES
3120;GARNAT SUR ENGIEVRE;03230;GARNAT SUR ENGIEVRE
3195;NERIS LES BAINS;03310;NERIS LES BAINS
3121;GENNETINES;03400;GENNETINES
3201;NIZEROLLES;03250;NIZEROLLES
3128;HURIEL;03380;HURIEL
3205;PERIGNY;03120;PERIGNY
3131;ISSERPENT;03120;ISSERPENT
3212;QUINSSAINES;03380;QUINSSAINES
3135;LALIZOLLE;03450;LALIZOLLE
3218;ST AUBIN LE MONIAL;03160;ST AUBIN LE MONIAL
3136;LAMAIDS;03380;LAMAIDS
3220;ST BONNET DE ROCHEFORT;03800;ST BONNET DE ROCHEFORT
3137;LANGY;03150;LANGY
3227;ST DIDIER LA FORET;03110;ST DIDIER LA FORET
3139;LAPRUGNE;03250;LAPRUGNE
3230;ST ETIENNE DE VICQ;03300;ST ETIENNE DE VICQ
3140;LAVAULT STE ANNE;03100;LAVAULT STE ANNE
3235;ST GERAND LE PUY;03150;ST GERAND LE PUY
3142;LENAX;03130;LENAX
3239;ST LEGER SUR VOUZANCE;03130;ST LEGER SUR VOUZANCE
3143;LETELON;03360;LETELON
3250;ST PIERRE LAVAL;42620;ST PIERRE LAVAL
3146;LIMOISE;03320;LIMOISE
3258;ST REMY EN ROLLAT;03110;ST REMY EN ROLLAT
3150;LOUROUX BOURBONNAIS;03350;LOUROUX BOURBONNAIS
3264;ST YORRE;03270;ST YORRE
3156;LUSIGNY;03230;LUSIGNY
3265;SALIGNY SUR ROUDON;03470;SALIGNY SUR ROUDON
3158;HAUT BOCAGE;03190;HAUT BOCAGE
3268;SAULZET;03800;SAULZET
3158;HAUT BOCAGE;03190;HAUT BOCAGE
3273;SEUILLET;03260;SEUILLET
3159;MALICORNE;03600;MALICORNE
3284;THIONNE;03220;THIONNE
3160;MARCENAT;03260;MARCENAT
3297;VALLON EN SULLY;03190;VALLON EN SULLY
3165;LE MAYET DE MONTAGNE;03250;LE MAYET DE MONTAGNE
3301;VAUX;03190;VAUX
3167;MAZIRAT;03420;MAZIRAT
3303;VENAS;03190;VENAS
3174;MOLLES;03300;MOLLES
3306;LE VERNET;03200;LE VERNET
3176;MONETAY SUR ALLIER;03500;MONETAY SUR ALLIER
3307;VERNEUIL EN BOURBONNAIS;03500;VERNEUIL EN BOURBONNAIS
3181;MONTCOMBROUX LES MINES;03130;MONTCOMBROUX LES MINES
3312;VIEURE;03430;VIEURE
3189;MONTVICQ;03170;MONTVICQ
3315;VILLEFRANCHE D ALLIER;03430;VILLEFRANCHE D ALLIER
3202;NOYANT D ALLIER;03210;NOYANT D ALLIER
3320;YGRANDE;03160;YGRANDE
3208;LE PIN;03130;LE PIN
4001;AIGLUN;04510;AIGLUN
3213;REUGNY;03190;REUGNY
4004;ALLEMAGNE EN PROVENCE;04500;ALLEMAGNE EN PROVENCE
3214;ROCLES;03240;ROCLES
4005;ALLONS;04170;ALLONS
3219;ST BONNET DE FOUR;03390;ST BONNET DE FOUR
4006;ALLOS;04260;ALLOS
3224;ST CLEMENT;03250;ST CLEMENT
4013;AUBIGNOSC;04200;AUBIGNOSC
3229;ST ENNEMOND;03400;ST ENNEMOND
4020;BARLES;04140;BARLES
3231;ST FARGEOL;03420;ST FARGEOL
4025;BEAUVEZER;04370;BEAUVEZER
3233;ST GENEST;03310;ST GENEST
4030;BLIEUX;04330;BLIEUX
3237;ST GERMAIN DE SALLES;03140;ST GERMAIN DE SALLES
4032;BRAUX;04240;BRAUX
3243;ST MARCEL EN MURAT;03390;ST MARCEL EN MURAT
4036;LE BRUSQUET;04420;LE BRUSQUET
3249;ST PALAIS;03370;ST PALAIS
4039;CASTELLANE;04120;CASTELLANE
3251;ST PLAISIR;03160;ST PLAISIR
4039;CASTELLANE;04120;CASTELLANE
3253;ST POURCAIN SUR BESBRE;03290;ST POURCAIN SUR BESBRE
4043;VAL DE CHALVAGNE;04320;VAL DE CHALVAGNE
3254;ST POURCAIN SUR SIOULE;03500;ST POURCAIN SUR SIOULE
4050;CHATEAUFORT;04250;CHATEAUFORT
3255;ST PRIEST D ANDELOT;03800;ST PRIEST D ANDELOT
4051;CHATEAUNEUF MIRAVAIL;04200;CHATEAUNEUF MIRAVAIL
3261;STE THERENCE;03420;STE THERENCE
4057;CLAMENSANE;04250;CLAMENSANE
3262;ST VICTOR;03410;ST VICTOR
4061;COLMARS;04370;COLMARS LES ALPES
3277;TARGET;03140;TARGET
4062;LA CONDAMINE CHATELARD;04530;LA CONDAMINE CHATELARD
3283;THIEL SUR ACOLIN;03230;THIEL SUR ACOLIN
4067;CUREL;04200;CUREL
3285;TORTEZAIS;03430;TORTEZAIS
4070;DIGNE LES BAINS;04000;DIGNE LES BAINS
3288;TREIGNAT;03380;TREIGNAT
4073;ENCHASTRAYES;04400;ENCHASTRAYES
3289;TRETEAU;03220;TRETEAU
4075;ENTREPIERRES;04200;ENTREPIERRES
3292;TRONGET;03240;TRONGET
4081;ESPARRON DE VERDON;04800;ESPARRON DE VERDON
3294;USSEL D ALLIER;03140;USSEL D ALLIER
4086;FAUCON DE BARCELONNETTE;04400;FAUCON DE BARCELONNETTE
3296;VALIGNY;03360;VALIGNY
4097;LA JAVIE;04000;LA JAVIE
3298;VARENNES SUR ALLIER;03150;VARENNES SUR ALLIER
4102;LE LAUZET UBAYE;04340;LE LAUZET UBAYE
3300;VAUMAS;03220;VAUMAS
4104;LIMANS;04300;LIMANS
3310;VICHY;03200;VICHY
4113;MARCOUX;04420;MARCOUX
3311;VICQ;03450;VICQ
4116;LES MEES;04190;LES MEES
3317;VIPLAIX;03370;VIPLAIX
4126;MONTCLAR;04140;MONTCLAR
3319;VOUSSAC;03140;VOUSSAC
4128;MONTFURON;04110;MONTFURON
4019;BARCELONNETTE;04400;BARCELONNETTE
4136;LA MURE ARGENS;04170;LA MURE ARGENS
4021;BARRAS;04380;BARRAS
4137;NIBLES;04250;NIBLES
4023;BAYONS;04250;BAYONS
4139;NOYERS SUR JABRON;04200;NOYERS SUR JABRON
4023;BAYONS;04250;BAYONS
4141;ONGLES;04230;ONGLES
4024;BEAUJEU;04420;BEAUJEU
4142;OPPEDETTE;04110;OPPEDETTE
4033;UBAYE SERRE PONCON;04340;UBAYE SERRE PONCON
4151;PIERRERUE;04300;PIERRERUE
4039;CASTELLANE;04120;CASTELLANE
4157;PUIMOISSON;04410;PUIMOISSON
4042;CASTELLET LES SAUSSES;04320;CASTELLET LES SAUSSES
4158;QUINSON;04500;QUINSON
4045;CERESTE;04280;CERESTE
4160;REILLANNE;04110;REILLANNE
4047;CHAMPTERCIER;04660;CHAMPTERCIER
4181;ST JEANNET;04270;ST JEANNET
4049;CHATEAU ARNOUX ST AUBAN;04600;CHATEAU ARNOUX ST AUBAN
4187;ST LIONS;04330;ST LIONS
4068;DAUPHIN;04300;DAUPHIN
4189;ST MARTIN DE BROMES;04800;ST MARTIN DE BROMES
4069;DEMANDOLX;04120;DEMANDOLX
4191;ST MARTIN LES SEYNE;04140;ST MARTIN LES SEYNE
4072;DRAIX;04420;DRAIX
4192;ST MICHEL L OBSERVATOIRE;04870;ST MICHEL L OBSERVATOIRE
4074;ENTRAGES;04000;ENTRAGES
4195;ST PONS;04400;ST PONS
4075;ENTREPIERRES;04200;ENTREPIERRES
4199;ST VINCENT SUR JABRON;04200;ST VINCENT SUR JABRON
4077;ENTREVENNES;04700;ENTREVENNES
4207;SIGOYER;04200;SIGOYER
4087;FONTIENNE;04230;FONTIENNE
4216;THEZE;04200;THEZE
4088;FORCALQUIER;04300;FORCALQUIER
4228;VALAVOIRE;04250;VALAVOIRE
4108;MALIJAI;04510;MALIJAI
4234;VENTEROL;05130;VENTEROL
4112;MANOSQUE;04100;MANOSQUE
4240;VILLARS COLMARS;04370;VILLARS COLMARS
4115;MEAILLES;04240;MEAILLES
4242;VILLENEUVE;04180;VILLENEUVE
4122;MIRABEAU;04510;MIRABEAU
5008;ASPREMONT;05140;ASPREMONT
4140;LES OMERGUES;04200;LES OMERGUES
5013;BARCILLONNETTE;05110;BARCILLONNETTE
4144;LA PALUD SUR VERDON;04120;LA PALUD SUR VERDON
5016;LA BATIE MONTSALEON;05700;LA BATIE MONTSALEON
4145;PEIPIN;04200;PEIPIN
5039;AUBESSAGNE;05800;AUBESSAGNE
4161;MEOLANS REVEL;04340;MEOLANS REVEL
5050;ESPINASSES;05190;ESPINASSES
4166;RIEZ;04500;RIEZ
5053;GARDE COLOMBE;05300;GARDE COLOMBE
4167;LA ROBINE SUR GALABRE;04000;LA ROBINE SUR GALABRE
5056;FOREST ST JULIEN;05260;FOREST ST JULIEN
4167;LA ROBINE SUR GALABRE;04000;LA ROBINE SUR GALABRE
5059;LA FREISSINOUSE;05000;LA FREISSINOUSE
4167;LA ROBINE SUR GALABRE;04000;LA ROBINE SUR GALABRE
5061;GAP;05000;GAP
4167;LA ROBINE SUR GALABRE;04000;LA ROBINE SUR GALABRE
5072;LAYE;05500;LAYE
4171;ROUGON;04120;ROUGON
5089;MONTROND;05700;MONTROND
4184;ST JURS;04410;ST JURS
5095;LE NOYER;05500;LE NOYER
4190;ST MARTIN LES EAUX;04300;ST MARTIN LES EAUX
5099;OZE;05400;OZE
4204;SENEZ;04270;SENEZ
5100;PELLEAUTIER;05000;PELLEAUTIER
4214;TARTONNE;04330;TARTONNE
5106;PRUNIERES;05230;PRUNIERES
4217;THOARD;04380;THOARD
5109;PUY ST PIERRE;05100;PUY ST PIERRE
4226;UVERNET FOURS;04400;UVERNET FOURS
5111;PUY SANIERES;05200;PUY SANIERES
4227;VACHERES;04110;VACHERES
5116;REOTIER;05600;REOTIER
4229;VALBELLE;04200;VALBELLE
5118;VAL BUECH MEOUGE;05300;VAL BUECH MEOUGE
4237;LE VERNET;04140;LE VERNET
5118;VAL BUECH MEOUGE;05300;VAL BUECH MEOUGE
4245;VOLX;04130;VOLX
5123;LA ROCHE DES ARNAUDS;05400;LA ROCHE DES ARNAUDS
5004;ANCELLE;05260;ANCELLE
5132;ST BONNET EN CHAMPSAUR;05500;ST BONNET EN CHAMPSAUR
5022;BREZIERS;05190;BREZIERS
5132;ST BONNET EN CHAMPSAUR;05500;ST BONNET EN CHAMPSAUR
5024;VALDOULE;05150;VALDOULE
5139;LE DEVOLUY;05250;LE DEVOLUY
5024;VALDOULE;05150;VALDOULE
5139;LE DEVOLUY;05250;LE DEVOLUY
5028;CHABESTAN;05400;CHABESTAN
5147;ST JULIEN EN CHAMPSAUR;05500;ST JULIEN EN CHAMPSAUR
5044;CREVOUX;05200;CREVOUX
5149;ST LEGER LES MELEZES;05260;ST LEGER LES MELEZES
5047;EOURRES;05300;EOURRES
5166;SERRES;05700;SERRES
5048;L EPINE;05700;L EPINE
5168;SIGOYER;05130;SIGOYER
5063;LA GRAVE;05320;LA GRAVE
5176;VALSERRES;05130;VALSERRES
5070;LARAGNE MONTEGLIN;05300;LARAGNE MONTEGLIN
6004;ANTIBES;06160;ANTIBES
5074;LETTRET;05130;LETTRET
6004;ANTIBES;06600;ANTIBES
5075;MANTEYER;05400;MANTEYER
6004;ANTIBES;06600;ANTIBES
5076;MEREUIL;05700;MEREUIL
6021;BONSON;06830;BONSON
5090;LA MOTTE EN CHAMPSAUR;05500;LA MOTTE EN CHAMPSAUR
6025;LE BROC;06510;LE BROC
5102;LA PIARRE;05700;LA PIARRE
6031;CANTARON;06340;CANTARON
5104;POLIGNY;05500;POLIGNY
6044;LA COLLE SUR LOUP;06480;LA COLLE SUR LOUP
5127;ROUSSET;05190;ROUSSET
6049;COURMES;06620;COURMES
5132;ST BONNET EN CHAMPSAUR;05500;ST BONNET EN CHAMPSAUR
6060;FALICON;06950;FALICON
5135;STE COLOMBE;05700;STE COLOMBE
6065;LA GAUDE;06610;LA GAUDE
5142;ST FIRMIN;05800;ST FIRMIN EN VALGODEMARD
6072;ILONSE;06420;ILONSE
5156;ST SAUVEUR;05200;ST SAUVEUR
6075;LEVENS;06670;LEVENS
5159;SALEON;05300;SALEON
6080;MARIE;06420;MARIE
5169;SORBIERS;05150;SORBIERS
6084;MOUANS SARTOUX;06370;MOUANS SARTOUX
5179;VEYNES;05400;VEYNES
6085;MOUGINS;06250;MOUGINS
5183;VILLAR ST PANCRACE;05100;VILLAR ST PANCRACE
6088;NICE;06100;NICE
6003;ANDON;06750;ANDON
6088;NICE;06200;NICE
6004;ANTIBES;06160;ANTIBES
6088;NICE;06200;NICE
6005;ASCROS;06260;ASCROS
6094;PEONE;06470;PEONE
6010;LE BAR SUR LOUP;06620;LE BAR SUR LOUP
6103;ROQUEBILLIERE;06450;ROQUEBILLIERE
6013;BELVEDERE;06450;BELVEDERE
6105;ROQUEFORT LES PINS;06330;ROQUEFORT LES PINS
6027;CAGNES SUR MER;06800;CAGNES SUR MER
6107;LA ROQUE EN PROVENCE;06910;LA ROQUE EN PROVENCE
6032;CAP D AIL;06320;CAP D AIL
6109;LA ROQUETTE SUR VAR;06670;LA ROQUETTE SUR VAR
6035;CASTELLAR;06500;CASTELLAR
6111;ROURE;06420;ROURE
6036;CASTILLON;06500;CASTILLON
6114;ST ANDRE DE LA ROCHE;06730;ST ANDRE DE LA ROCHE
6039;CHATEAUNEUF VILLEVIEILLE;06390;CHATEAUNEUF VILLEVIEILLE
6116;ST AUBAN;06850;ST AUBAN
6045;COLLONGUES;06910;COLLONGUES
6120;ST ETIENNE DE TINEE;06660;ST ETIENNE DE TINEE
6056;ENTRAUNES;06470;ENTRAUNES
6122;ST JEANNET;06640;ST JEANNET
6056;ENTRAUNES;06470;ENTRAUNES
6124;ST LEGER;06260;ST LEGER
6058;ESCRAGNOLLES;06460;ESCRAGNOLLES
6127;ST MARTIN VESUBIE;06450;ST MARTIN VESUBIE
6066;GILETTE;06830;GILETTE
6133;SAUZE;06470;SAUZE
6067;GORBIO;06500;GORBIO
6134;SERANON;06750;SERANON
6068;GOURDON;06620;GOURDON
6136;SOSPEL;06380;SOSPEL
6069;GRASSE;06130;GRASSE
6150;LA TURBIE;06320;LA TURBIE
6070;GREOLIERES;06620;GREOLIERES
6151;UTELLE;06450;UTELLE
6071;GUILLAUMES;06470;GUILLAUMES
6157;VENCE;06140;VENCE
6073;ISOLA;06420;ISOLA
6162;LA BRIGUE;06430;LA BRIGUE
6074;LANTOSQUE;06450;LANTOSQUE
7001;ACCONS;07160;ACCONS
6078;MALAUSSENE;06710;MALAUSSENE
7003;AIZAC;07530;AIZAC
6079;MANDELIEU LA NAPOULE;06210;MANDELIEU LA NAPOULE
7004;AJOUX;07000;AJOUX
6083;MENTON;06500;MENTON
7006;ALBON D ARDECHE;07190;ALBON D ARDECHE
6089;OPIO;06650;OPIO
7013;ARDOIX;07290;ARDOIX
6090;PEGOMAS;06580;PEGOMAS
7028;BEAULIEU;07460;BEAULIEU
6092;PEILLON;06440;PEILLON
7032;BERZEME;07580;BERZEME
6095;PEYMEINADE;06530;PEYMEINADE
7033;BESSAS;07150;BESSAS
6110;ROUBION;06420;ROUBION
7040;BOUCIEU LE ROI;07270;BOUCIEU LE ROI
6113;STE AGNES;06500;STE AGNES
7049;LE CHAMBON;07160;LE CHAMBON
6118;ST CEZAIRE SUR SIAGNE;06530;ST CEZAIRE SUR SIAGNE
7054;CHANEAC;07310;CHANEAC
6130;ST VALLIER DE THIEY;06460;ST VALLIER DE THIEY
7056;CHARNAS;07340;CHARNAS
6135;SIGALE;06910;SIGALE
7064;LE CHEYLARD;07160;LE CHEYLARD
6138;THEOULE SUR MER;06590;THEOULE SUR MER
7072;COUX;07000;COUX
6142;TOUET DE L ESCARENE;06440;TOUET DE L ESCARENE
7077;DARBRES;07170;DARBRES
6144;LA TOUR;06420;LA TOUR
7092;FREYSSENET;07000;FREYSSENET
6145;TOURETTE DU CHATEAU;06830;TOURETTE DU CHATEAU
7093;GENESTELLE;07530;GENESTELLE
6147;TOURRETTE LEVENS;06690;TOURRETTE LEVENS
7098;GOURDON;07000;GOURDON
6153;VALDEBLORE;06420;VALDEBLORE
7100;GRAVIERES;07140;GRAVIERES
6163;TENDE;06430;TENDE
7103;ST JULIEN D INTRES;07310;ST JULIEN D INTRES
6163;TENDE;06430;TENDE
7105;ISSANLAS;07660;ISSANLAS
7015;ARRAS SUR RHONE;07370;ARRAS SUR RHONE
7106;ISSARLES;07470;ISSARLES
7017;LES ASSIONS;07140;LES ASSIONS
7110;JOYEUSE;07260;JOYEUSE
7019;AUBENAS;07200;AUBENAS
7113;LABASTIDE DE VIRAC;07150;LABASTIDE DE VIRAC
7022;BAIX;07210;BAIX
7114;LABATIE D ANDAURE;07570;LABATIE D ANDAURE
7024;BANNE;07460;BANNE
7116;LABEGUDE;07200;LABEGUDE
